iteration;stat;count
18;conflicting_sharp_triangles;0
18;conflicting_spur_triangles;52
18;conflicting_gully_triangles;77
19;conflicting_iso_vertices;101
19;conflicting_triangles;123
19;extended_conflicting_triangles;123
19;vertices_to_smooth;174
19;updated_vertices;2
19;conflicting_sharp_vertices;0
19;conflicting_spur_vertices;41
19;conflicting_gully_vertices;60
19;conflicting_sharp_triangles;0
19;conflicting_spur_triangles;52
19;conflicting_gully_triangles;77
20;conflicting_iso_vertices;101
20;conflicting_triangles;123
20;extended_conflicting_triangles;123
20;vertices_to_smooth;174
20;updated_vertices;1
20;conflicting_sharp_vertices;0
20;conflicting_spur_vertices;41
20;conflicting_gully_vertices;60
20;conflicting_sharp_triangles;0
20;conflicting_spur_triangles;52
20;conflicting_gully_triangles;77
21;conflicting_iso_vertices;101
21;conflicting_triangles;123
21;extended_conflicting_triangles;123
21;vertices_to_smooth;174
21;updated_vertices;0
21;conflicting_sharp_vertices;0
21;conflicting_spur_vertices;41
21;conflicting_gully_vertices;60
21;conflicting_sharp_triangles;0
21;conflicting_spur_triangles;52
21;conflicting_gully_triangles;77
22;conflicting_iso_vertices;101
22;conflicting_triangles;123
22;extended_conflicting_triangles;680
22;vertices_to_smooth;546
22;updated_vertices;176
22;conflicting_sharp_vertices;0
22;conflicting_spur_vertices;41
22;conflicting_gully_vertices;60
22;conflicting_sharp_triangles;0
22;conflicting_spur_triangles;52
22;conflicting_gully_triangles;77
23;conflicting_iso_vertices;109
23;conflicting_triangles;133
23;extended_conflicting_triangles;133
23;vertices_to_smooth;186
23;updated_vertices;65
23;conflicting_sharp_vertices;0
23;conflicting_spur_vertices;49
23;conflicting_gully_vertices;60
23;conflicting_sharp_triangles;0
23;conflicting_spur_triangles;62
23;conflicting_gully_triangles;77
24;conflicting_iso_vertices;106
24;conflicting_triangles;127
24;extended_conflicting_triangles;127
24;vertices_to_smooth;173
24;updated_vertices;55
24;conflicting_sharp_vertices;0
24;conflicting_spur_vertices;46
24;conflicting_gully_vertices;60
24;conflicting_sharp_triangles;0
24;conflicting_spur_triangles;57
24;conflicting_gully_triangles;76
25;conflicting_iso_vertices;92
25;conflicting_triangles;111
25;extended_conflicting_triangles;111
25;vertices_to_smooth;155
25;updated_vertices;39
25;conflicting_sharp_vertices;0
25;conflicting_spur_vertices;35
25;conflicting_gully_vertices;57
25;conflicting_sharp_triangles;0
25;conflicting_spur_triangles;44
25;conflicting_gully_triangles;73
26;conflicting_iso_vertices;100
26;conflicting_triangles;109
26;extended_conflicting_triangles;109
26;vertices_to_smooth;148
26;updated_vertices;29
26;conflicting_sharp_vertices;0
26;conflicting_spur_vertices;35
26;conflicting_gully_vertices;65
26;conflicting_sharp_triangles;0
26;conflicting_spur_triangles;44
26;conflicting_gully_triangles;79
27;conflicting_iso_vertices;101
27;conflicting_triangles;111
27;extended_conflicting_triangles;111
27;vertices_to_smooth;150
27;updated_vertices;31
27;conflicting_sharp_vertices;0
27;conflicting_spur_vertices;32
27;conflicting_gully_vertices;69
27;conflicting_sharp_triangles;0
27;conflicting_spur_triangles;40
27;conflicting_gully_triangles;85
28;conflicting_iso_vertices;98
28;conflicting_triangles;106
28;extended_conflicting_triangles;106
28;vertices_to_smooth;144
28;updated_vertices;22
28;conflicting_sharp_vertices;0
28;conflicting_spur_vertices;36
28;conflicting_gully_vertices;62
28;conflicting_sharp_triangles;0
28;conflicting_spur_triangles;45
28;conflicting_gully_triangles;77
29;conflicting_iso_vertices;84
29;conflicting_triangles;98
29;extended_conflicting_triangles;98
29;vertices_to_smooth;136
29;updated_vertices;14
29;conflicting_sharp_vertices;0
29;conflicting_spur_vertices;28
29;conflicting_gully_vertices;56
29;conflicting_sharp_triangles;0
29;conflicting_spur_triangles;35
29;conflicting_gully_triangles;72
